# GX (Channel Output Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Nu=6 Q=18 Nu2min=3 Nu2max=9
# Format: ly binary(y) xi probability
ly	binary(y)	xi	probability
5	00011	12	1.859453298796e-07
5	00011	13	1.234710577648e-07
5	00011	14	7.457806881574e-10
5	00011	15	1.856954288407e-07
5	00011	16	1.232211567259e-07
5	00011	17	4.958796492644e-10
5	00100	0	3.037489884362e-05
5	00100	1	4.568431936689e-05
5	00100	2	4.574679164773e-05
5	00100	3	6.322203203505e-08
5	00100	4	1.537264255530e-05
5	00100	5	1.543511483614e-05
5	00100	6	1.537264255530e-05
5	00100	7	1.543511483614e-05
5	00100	8	4.574679164773e-05
5	00100	9	7.497511957688e-10
5	00100	10	1.531017027447e-05
5	00100	11	1.537264255530e-05
5	00100	12	1.531017027447e-05
5	00100	13	1.537264255530e-05
5	00100	14	4.568431936689e-05
5	00100	15	7.497511957688e-10
5	00100	16	6.322203203505e-08
5	00100	17	3.037489884362e-05
5	00101	0	7.548039892724e-03
5	00101	1	7.578289344193e-03
5	00101	2	1.531116489680e-05
5	00101	3	4.323666349917e-07
5	00101	4	3.796922969870e-03
5	00101	5	1.859423390968e-07
5	00101	6	3.068132426348e-05
5	00101	7	1.531066806152e-05
5	00101	8	1.839709683207e-07
5	00101	9	1.859462815818e-07
5	00101	10	3.796738030150e-03
5	00101	11	6.248325294413e-08
5	00101	12	3.055786517733e-05
5	00101	13	1.524868960899e-05
5	00101	14	1.834731494253e-07
5	00101	15	1.229811599395e-07
5	00101	16	5.057880125819e-10
5	00101	17	1.219895248528e-07
5	00110	0	1.537338429754e-05
5	00110	1	3.781798245151e-03
5	00110	2	1.134483889672e-02
5	00110	3	6.346896626571e-08
5	00110	4	2.471780537932e-07
5	00110	5	3.797046677857e-03
5	00110	6	1.854465314853e-07
5	00110	7	1.561857500626e-05
5	00110	8	3.080527521457e-05
5	00110	9	6.296915609487e-08
5	00110	10	1.851976099938e-07
5	00110	11	3.796923216780e-03
5	00110	12	6.198545405720e-08
