# GENew Probability Table: P(e_(i+1)v|...)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
3	110	101100	1	0.000000e+00
3	110	101100	2	4.515888e-08
3	110	101100	3	0.000000e+00
3	110	110001	0	0.000000e+00
3	110	110001	1	5.005180e-13
3	110	110001	2	4.252044e-06
3	110	110001	3	0.000000e+00
3	110	110010	0	4.419949e-07
3	110	110010	1	5.084508e-15
3	110	110010	2	4.229577e-06
3	110	110010	3	0.000000e+00
3	110	110100	0	2.217439e-07
3	110	110100	1	0.000000e+00
3	110	110100	2	4.252149e-06
3	110	110100	3	0.000000e+00
3	111	001011	0	1.428198e-09
3	111	001011	1	5.010741e-13
3	111	001011	2	3.727535e-11
3	111	001011	3	0.000000e+00
3	111	001101	0	1.332519e-09
3	111	001101	1	5.873393e-15
3	111	001101	2	7.198797e-11
3	111	001101	3	0.000000e+00
3	111	001110	0	0.000000e+00
3	111	001110	1	5.084508e-15
3	111	001110	2	2.253897e-08
3	111	001110	3	2.483336e-10
3	111	010011	0	1.576079e-09
3	111	010011	1	5.010741e-13
3	111	010011	2	1.905216e-11
3	111	010011	3	0.000000e+00
3	111	010101	0	3.109834e-10
3	111	010101	1	5.873393e-15
3	111	010101	2	3.428808e-11
3	111	010101	3	0.000000e+00
3	111	010110	0	0.000000e+00
3	111	010110	1	5.084508e-15
3	111	010110	2	1.947790e-10
3	111	010110	3	2.483336e-10
3	111	011001	0	1.330680e-09
3	111	011001	1	5.873393e-15
3	111	011001	2	2.908379e-09
3	111	011001	3	0.000000e+00
3	111	011010	0	0.000000e+00
3	111	011010	1	5.084508e-15
3	111	011010	2	3.059092e-09
3	111	011010	3	2.911872e-12
3	111	011100	0	0.000000e+00
3	111	011100	1	0.000000e+00
3	111	011100	2	2.541550e-08
3	111	011100	3	1.842697e-12
3	111	100011	0	2.206550e-07
3	111	100011	1	9.957187e-13
3	111	100011	2	6.027219e-11
3	111	100011	3	0.000000e+00
3	111	100101	0	1.574763e-09
3	111	100101	1	5.005180e-13
3	111	100101	2	8.536616e-11
3	111	100101	3	0.000000e+00
3	111	100110	0	0.000000e+00
3	111	100110	1	5.084508e-15
3	111	100110	2	2.255210e-08
3	111	100110	3	4.934798e-10
3	111	101001	0	1.425044e-09
3	111	101001	1	5.005180e-13
3	111	101001	2	2.908266e-09
3	111	101001	3	0.000000e+00
3	111	101010	0	0.000000e+00
3	111	101010	1	5.084508e-15
3	111	101010	2	3.068598e-09
3	111	101010	3	2.480580e-10
3	111	101100	0	0.000000e+00
3	111	101100	1	0.000000e+00
3	111	101100	2	2.542500e-08
3	111	101100	3	1.842697e-12
3	111	110001	0	2.204096e-07
3	111	110001	1	5.005180e-13
3	111	110001	2	4.719517e-09
3	111	110001	3	0.000000e+00
3	111	110010	0	0.000000e+00
3	111	110010	1	5.084508e-15
3	111	110010	2	2.718634e-08
3	111	110010	3	2.480580e-10
3	111	110100	0	0.000000e+00
3	111	110100	1	0.000000e+00
3	111	110100	2	2.722664e-08
3	111	110100	3	1.842697e-12
4	0000	001011	0	0.000000e+00
4	0000	001011	1	5.747143e-16
4	0000	001011	2	4.401556e-08
4	0000	001011	3	2.803876e-11
4	0000	001101	0	0.000000e+00
4	0000	001101	1	7.736620e-14
4	0000	001101	2	9.149608e-10
4	0000	001101	3	3.734491e-09
4	0000	001110	0	3.742223e-09
4	0000	001110	1	7.535253e-12
4	0000	001110	2	5.318042e-10
4	0000	001110	3	0.000000e+00
4	0000	010011	0	0.000000e+00
4	0000	010011	1	5.747143e-16
4	0000	010011	2	4.401693e-08
4	0000	010011	3	5.577938e-11
4	0000	010101	0	0.000000e+00
4	0000	010101	1	7.736620e-14
4	0000	010101	2	5.166228e-10
4	0000	010101	3	2.669721e-11
4	0000	010110	0	2.322960e-09
4	0000	010110	1	4.871869e-14
4	0000	010110	2	5.342499e-11
4	0000	010110	3	0.000000e+00
4	0000	011001	0	0.000000e+00
4	0000	011001	1	1.539102e-13
4	0000	011001	2	7.101467e-10
4	0000	011001	3	3.738664e-09
4	0000	011010	0	2.333806e-09
4	0000	011010	1	5.383721e-14
4	0000	011010	2	3.262969e-10
4	0000	011010	3	0.000000e+00
4	0000	011100	0	3.769925e-09
4	0000	011100	1	7.543643e-12
4	0000	011100	2	6.812066e-12
4	0000	011100	3	0.000000e+00
4	0000	100011	0	0.000000e+00
4	0000	100011	1	5.747143e-16
4	0000	100011	2	4.401720e-08
4	0000	100011	3	2.806991e-11
4	0000	100101	0	0.000000e+00
4	0000	100101	1	9.081766e-16
4	0000	100101	2	5.168899e-10
4	0000	100101	3	2.508310e-11
4	0000	100110	0	2.323050e-09
4	0000	100110	1	4.549264e-14
4	0000	100110	2	5.342817e-11
4	0000	100110	3	0.000000e+00
4	0000	101001	0	0.000000e+00
4	0000	101001	1	7.745215e-14
4	0000	101001	2	4.962149e-10
4	0000	101001	3	2.671951e-11
4	0000	101010	0	4.191123e-11
4	0000	101010	1	1.063175e-14
4	0000	101010	2	3.044086e-11
4	0000	101010	3	0.000000e+00
4	0000	101100	0	2.308682e-09
4	0000	101100	1	5.388219e-14
4	0000	101100	2	2.375894e-12
4	0000	101100	3	0.000000e+00
4	0000	110001	0	0.000000e+00
4	0000	110001	1	7.745215e-14
4	0000	110001	2	7.118953e-10
4	0000	110001	3	3.738693e-09
4	0000	110010	0	2.325730e-09
4	0000	110010	1	4.555549e-14
4	0000	110010	2	3.263085e-10
4	0000	110010	3	0.000000e+00
4	0000	110100	0	2.350809e-09
4	0000	110100	1	4.882652e-14
4	0000	110100	2	2.388610e-12
4	0000	110100	3	0.000000e+00
4	0001	001011	0	2.386690e-08
4	0001	001011	1	5.747143e-16
4	0001	001011	2	3.416436e-07
4	0001	001011	3	0.000000e+00
4	0001	001101	0	3.339689e-06
4	0001	001101	1	7.736620e-14
4	0001	001101	2	4.409481e-08
4	0001	001101	3	0.000000e+00
4	0001	001110	0	0.000000e+00
4	0001	001110	1	7.535253e-12
4	0001	001110	2	4.447797e-08
4	0001	001110	3	0.000000e+00
4	0001	010011	0	2.469226e-08
4	0001	010011	1	5.747143e-16
4	0001	010011	2	3.407013e-07
4	0001	010011	3	0.000000e+00
4	0001	010101	0	2.614828e-08
4	0001	010101	1	7.736620e-14
4	0001	010101	2	4.363769e-08
4	0001	010101	3	0.000000e+00
4	0001	010110	0	0.000000e+00
4	0001	010110	1	4.871869e-14
4	0001	010110	2	4.410089e-08
4	0001	010110	3	2.082846e-13
4	0001	011001	0	3.339716e-06
4	0001	011001	1	1.539102e-13
4	0001	011001	2	6.244173e-12
4	0001	011001	3	0.000000e+00
4	0001	011010	0	0.000000e+00
